plot;date;plant;L;l;surfaceF;surfaceST;N_aphid;time;t0;t1;t2;t3;t4;t5;t6;t7;t8;t9;t10;t11;add changes;avg_inact;avg_walk;avg_tend;tot_ant;tot_exp;
Ol-55_ext1;16.08.2018;Beta;40;31;1;0;7;12h10;3;3;3;3;3;3;3;3;3;3;3;3;0;kA;0;kA;3;0;
Ol-55_ext1;21.08.2018;Ceta;43;26;1;0;9;10h40;6;6;6;6;6;6;6;6;6;6;6;6;0;3;0;3;6;0;
Ol-55_ext1;21.08.2018;Ceta;43;26;1;0;9;10h53;7;7;7;7;7;7;7;7;7;7;7;7;0;3;1;3;7;0;
Ol-55_ext1;21.08.2018;Ceta;43;26;1;0;9;11h00;8;8;8;8;8;8;8;8;8;8;8;8;0;3;1;4;8;0;
Ol-55_ext1;21.08.2018;Ceta;43;26;1;0;9;11h11;6;6;6;6;6;6;6;6;6;6;6;6;0;2;0;4;6;0;
Ol-55_ext1;21.08.2018;Ceta;43;26;1;0;9;11h17;6;6;6;6;6;6;6;6;6;6;6;6;0;3;0;3;6;0;
Ol-55_ext1;24.08.2018;Ceta;27;43;1;0;11;11h00;7;7;7;7;8;8;8;8;8;7;7;6;0;1;1;5;8;1;
Ol-55_ext1;24.08.2018;Ceta;27;43;1;0;11;11h15;7;7;7;7;7;6;7;7;7;7;7;7;0;2;0;5;8;1;
Ol-55_ext1;24.08.2018;Ceta;27;43;1;0;11;11h20;8;8;8;8;8;8;9;9;9;9;9;9;0;2;2;5;10;1;
Ol-55_ext1;24.08.2018;Ceta;27;43;1;0;11;11h25;8;8;8;8;7;7;7;7;8;8;8;8;0;4;1;3;8;0;
Ol-55_ext1;24.08.2018;Ceta;27;43;1;0;11;11h34;9;9;9;9;9;9;10;10;10;9;9;11;0;2;2;5;11;1;
Ol-55_ext2;25.08.2018;Delta;4;86;0;4;169;9h24;16;15;17;19;18;19;18;19;18;20;19;18;0;0;9;9;40;10;
Ol-55_ext2;25.08.2018;Delta;4;86;0;4;169;9h35;24;25;25;26;25;23;24;25;25;25;26;27;0;0;10;14;48;6;
Ol-55_ext2;25.08.2018;Delta;4;86;0;4;169;9h44;24;25;23;24;23;27;25;23;23;25;27;28;0;0;9;14;46;8;
Ol-55_ext2;25.08.2018;Delta;4;86;0;4;169;9h52;24;24;24;24;25;23;22;23;23;23;23;23;0;0;3;20;45;3;
Ol-55_ext2;25.08.2018;Delta;4;86;0;4;169;10h05;26;25;21;21;20;21;22;23;22;22;24;22;0;0;5;18;43;2;
Ol-55_ext2;29.08.2018;Gamma;;68;0;1;227;9h32;22;19;21;20;20;21;21;21;22;21;20;22;0;1;4;16;24;3;
Ol-55_ext2;29.08.2018;Gamma;;68;0;1;227;9h47;24;25;25;26;25;26;25;25;24;25;24;25;0;1;7;15;31;7;
Ol-55_ext2;29.08.2018;Gamma;;68;0;1;227;10h04;17;17;17;19;18;16;18;19;18;18;17;18;0;0;5;13;28;9;
Ol-55_ext2;29.08.2018;Gamma;;68;0;1;227;10h15;22;22;21;22;21;21;21;21;21;22;21;21;0;2;3;16;25;4;
Ol-55_ext2;29.08.2018;Gamma;;68;0;1;227;10h28;20;22;22;22;22;22;22;22;21;22;22;24;0;2;2;18;25;3;
Nl-200_ext;02.08.2018;Alpha;47;36;1;0;120;11h25;9;10;9;10;10;10;10;10;10;10;9;9;0;kA;1;kA;kA;kA;
Nl-200_ext;02.08.2018;Alpha;47;36;1;0;120;11h27;9;9;9;9;9;8;9;9;9;9;9;9;0;kA;1;kA;kA;kA;
Nl-200_ext;02.08.2018;Alpha;47;36;1;0;120;11h29;9;9;9;9;9;9;9;9;9;9;9;9;0;kA;1;kA;kA;kA;
Nl-200_ext;02.08.2018;Alpha;47;36;1;0;120;11h31;9;9;9;9;9;9;9;9;9;9;9;9;0;kA;1;kA;kA;kA;
Nl-200_ext;02.08.2018;Alpha;47;36;1;0;120;11h33;9;9;9;9;9;9;9;9;8;9;9;9;0;kA;1;kA;kA;kA;
Nl-200_ext;07.08.2018;Alpha;57;68;1;0;57;9h40;7;7;7;7;7;7;7;7;7;7;7;7;0;1;3;3;7;0;
Nl-200_ext;07.08.2018;Alpha;57;68;1;0;57;9h42;7;7;7;7;7;7;7;7;7;7;7;7;0;1;3;3;7;0;
Nl-200_ext;07.08.2018;Alpha;57;68;1;0;57;9h44;7;7;7;7;7;7;7;7;7;7;7;6;0;1;3;3;7;0;
Nl-200_ext;07.08.2018;Alpha;57;68;1;0;57;9h46;7;7;7;7;7;6;6;6;6;6;6;6;0;1;3;2;7;1;
Nl-200_ext;07.08.2018;Alpha;57;68;1;0;57;9h48;6;6;6;6;6;6;6;6;6;6;6;6;0;1;3;2;6;0;
Nl-200_ext;12.08.2018;Alpha;66;74;1;0;26;9h25;10;10;10;10;10;10;10;10;10;10;10;10;0;kA;0;kA;12;0;
Nl-200_ext;12.08.2018;Alpha;66;74;1;0;26;9h28;11;11;11;11;11;11;11;11;11;11;11;11;0;kA;0;kA;12;0;
Nl-200_ext;12.08.2018;Alpha;66;74;1;0;26;9h30;11;10;11;11;11;11;10;11;11;11;11;11;0;kA;0;kA;12;0;
Nl-200_ext;12.08.2018;Alpha;66;74;1;0;26;9h33;11;11;11;11;11;11;11;11;11;11;11;11;0;kA;0;kA;12;0;
Nl-200_ext;12.08.2018;Alpha;66;74;1;0;26;9h36;11;11;11;11;11;11;11;11;11;11;11;11;0;kA;0;kA;12;0;
Nl-200_ext;16.08.2018;Alpha;4;196;0;2;10;9h00;16;16;16;16;16;16;16;16;16;16;16;16;0;kA;kA;kA;16;kA;
Nl-200_ext;16.08.2018;Alpha;4;196;0;2;10;9h40;7;7;7;8;8;9;9;9;9;9;9;9;0;kA;0;kA;10;0;
Nl-200_ext;16.08.2018;Alpha;4;196;0;2;10;9h43;9;7;8;8;8;9;8;8;8;8;7;7;0;kA;0;kA;10;0;
Nl-200_ext;16.08.2018;Alpha;4;196;0;2;10;9h46;10;8;8;9;9;10;9;10;9;9;9;10;0;kA;0;kA;10;0;
Nl-200_ext;16.08.2018;Alpha;4;196;0;2;10;9h49;8;8;8;8;8;7;8;8;8;8;8;8;0;kA;0;kA;10;0;
Nl-200_ext;16.08.2018;Alpha;4;196;0;2;10;9h52;8;8;8;8;8;9;9;9;9;9;8;8;0;kA;0;kA;10;0;
Ol-11_ext;03.08.2018;Alpha;59;109;1;0;58;9h55;8;8;8;9;9;9;10;10;10;10;10;10;0;kA;kA;kA;kA;kA;
Ol-11_ext;03.08.2018;Alpha;59;109;1;0;58;9h57;10;10;10;10;10;10;10;10;10;10;9;9;0;kA;kA;kA;kA;kA;
Ol-11_ext;03.08.2018;Alpha;59;109;1;0;58;9h59;9;9;9;9;9;9;9;8;8;8;8;9;0;kA;kA;kA;kA;kA;
Ol-11_ext;03.08.2018;Alpha;59;109;1;0;58;10h01;9;9;9;9;9;9;8;8;8;8;8;8;0;kA;kA;kA;kA;kA;
Ol-11_ext;03.08.2018;Alpha;59;109;1;0;58;10h03;8;8;8;8;8;8;8;8;8;8;8;8;0;kA;kA;kA;kA;kA;
Ol-11_ext;08.08.2018;Beta;66;73;1;1;63;9h45;8;8;8;8;8;8;8;7;7;8;8;8;0;kA;2;kA;10;0;
Ol-11_ext;08.08.2018;Beta;66;73;1;1;63;9h48;8;7;7;7;6;6;6;7;7;7;7;7;0;kA;1;kA;10;0;
Ol-11_ext;08.08.2018;Beta;66;73;1;1;63;9h51;7;7;6;6;6;7;7;7;7;7;7;7;0;kA;1;kA;9;0;
Ol-11_ext;08.08.2018;Beta;66;73;1;1;63;9h54;6;6;6;6;6;6;6;6;6;6;6;6;0;kA;0;kA;9;0;
Ol-11_ext;08.08.2018;Beta;66;73;1;1;63;9h57;7;7;7;7;7;7;7;7;7;7;7;7;0;kA;0;kA;9;0;
Ol-11_ext;13.08.2018;Ceta;57;72;1;0;82;9h40;8;7;7;7;7;7;8;8;8;8;8;8;0;kA;kA;kA;10;2;
Ol-11_ext;13.08.2018;Ceta;57;72;1;0;82;9h43;8;7;8;8;8;8;8;8;8;8;8;8;0;kA;kA;kA;10;2;
Ol-11_ext;13.08.2018;Ceta;57;72;1;0;82;9h46;8;8;8;8;8;8;8;8;8;7;8;8;0;kA;kA;kA;10;2;
Ol-11_ext;13.08.2018;Ceta;57;72;1;0;82;9h49;8;8;8;8;8;8;8;8;8;8;8;9;0;kA;kA;kA;10;2;
