"","ID_plot","Analysis","Long","Lat","Age","Size_Patch","ShDry_100","ShDry_500","ShDry_1000","ShDry_5000","Air_temp","Urb_clim","SVF","pH","C","N","S","P","K","Cu","Zn","Cd","Pb","Ni","Wc","Lf","KAK","C_N","C_S","Slope","Aspect","Cover_total","Cover_herb","Cover_moss","Cover_litter","Height_herbs","Seal_100","Seal_500","Seal_1000","Seal_5000","Pop_100","Pop_500","Pop_1000","Pop_5000","FAR_100","FAR_500","FAR_1000","FAR_5000","URBAN_100","URBAN_500","URBAN_1000","URBAN_5000","RdDen_100","RdDen_500","RdDen_1000","RdDen_5000","Road_Dist","RwDen_100","RwDen_500","RwDen_1000","RwDen_5000","Railw_Dist","metals","plots20","SR","SR.neo","Cover.neo","SR.exo","Cover.exo","SR.nat","Cover.nat","prop.neo"
"Nm_03","Nm_03",0,13.39376,52.6339,"N",8739.39,0.017140575,0.012785363,0.025915764,0.005619048,">7.5 - 8.0",1,NA,5.235,1.105176866,0.102461018,0.0219759,64.79,69.38,0.34425,17.86625,0.0650625,0.0572,0.2499,0.05,22.25,57.43476644,10.78417826,50.23843193,3,360,100,70,50,70,40,0,1.417095738,6.722958347,19.24632478,0,0.374063905,2.685446559,15.76929729,0,0.002867167,0.019769853,0.118777748,0,3,3,3,0,0.91818,9.87838,396.72256,490.7655308,0,0,0,44.92078,1223.293846,0.7164125,FALSE,6,0,0,1,1,5,65,0
"Nm_05","Nm_05",1,13.56144,52.42789,"N",10364.46,0.05248831,0.021738411,0.01267214,0.01336438,">8.5 - 9.0",3,0.86,7.16,0.715810895,0.040399365,0.010665995,31.04,35.76,0.18,0.0602375,0.002417375,0.008375,0.00842875,0.02,70.8,105.6974992,17.71742821,67.10822296,0,NA,99,75,70,60,20,26.41920407,42.11579112,38.64424533,32.05067189,0.008135122,4.080392181,14.6381803,26.50054206,0.057973162,0.149448143,0.19381211,0.216822046,3,4,4,3,0.57006,12.95063,44.97156,781.05032,66.38061514,1.16519,6.20178,14.54295,98.31679,41.13880359,0.199221125,FALSE,28,4,5.2,10,9.4,18,84.6,0.111111111111111
"Nm_07","Nm_07",1,13.37353,52.51451,"N",451.7,0.136446389,0.019963432,0.006131005,0.001938268,">9.0 - 9.5",3,0.63,5.235,2.190012455,0.131113149,0.023573244,32.88,49.98,0.1515,3.8925,0.01367125,0.10385,0.04425,0.06,25.1,51.6588233,16.70304203,92.90772247,0,NA,98,60,60,5,3,7,41.16516296,57.06487251,65.99422483,0,2.951166406,12.19423446,114.3221127,0,0.791756111,1.245920654,1.199127721,1,5,5,6,0,8.49535,43.31961,1198.22432,157.8314668,0.37769,4.05428,10.25612,149.41053,61.35647503,0.31327125,FALSE,27,4,1.3,14,21.5,13,63.5,0.153846153846154
"Nm_09","Nm_09",1,13.35908,52.46165,"N",742.45,0.043606289,0.01398305,0.003666703,0.003060143,">9.5 - 10.0",1,0.68,5.46,2.046596813,0.0600341111,0.0397189409,12.89,139.62,0.1619125,3.074725,0.0081325,0.065725,0.04382375,0.29,NA,257.0012283,34.08472824,51.52433586,0,NA,99,50,60,30,15,17.60066889,32.73133882,40.92172245,54.96605559,0.121070231,17.0689831,36.23162251,80.86479752,0.075668897,0.286325495,0.367756897,0.727891822,3,3,4,6,0,4.46767,33.83281,1100.95918,197.6257809,0.96976,5.60127,11.07836,77.32437,49.77950234,0.27959375,TRUE,25,1,4,5,7.1,20,71.9,0.025
"Nm_14","Nm_14",1,13.52209,52.4688,"N",3378.39,0,0.010255929,0.018114932,0.014973258,">9.0 - 9.5",2,0.8,7.065,3.549409509,0.071336359,0.030936502,22.79,40.35,0.1992875,0.1663375,0.002226875,0.0515375,0.00725625,0.04,70.4,124.1919293,49.86868095,119.0381355,0,NA,85,50,5,50,10,9.751470681,30.44468626,38.00262164,40.5339152,0,19.876756,51.47828953,36.63711008,0,0.111104386,0.316936342,0.301535074,1,3,4,4,0,7.25655,34.19023,883.06333,226.5048055,0,0,0,201.3878,1244.308085,0.260308125,TRUE,19,1,0.1,6,2.4,13,69.2,0.0384615384615385
"Nm_50","Nm_50",0,13.22444,52.50058,"N",7359,0.039539224,0.022079139,0.008872284,0.007385917,">8.5 - 9.0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,65,60,5,10,20,6.997591843,3.473909307,9.519730503,27.46433308,0,0.407319306,9.733558809,23.77820698,0.013588154,0.008884625,0.099411324,0.290668251,2,3,3,3,0.26136,1.40191,13.99413,589.30742,64.05992484,0,0,0,125.50057,2399.753197,NA,FALSE,42,4,8.2,14,14.9,28,77,0.0714285714285714
"Nm_201","Nm_201",1,13.28078,52.50321,"N",1516.83,0.086817189,0.01091989,0.00841657,0.006837109,">10.0 - 10.5",4,0.81,6.795,0.64921695,0.040289581,0.008041054,8.24,19.004,0.1569625,0.15625,0.00295,0.007895,0.00771375,0.02,51.6,35.81733788,16.09171867,80.97080231,20,270,98,70,60,20,10,68.79231004,65.20484527,65.82899735,45.14312638,0.217990374,20.94982571,57.53376767,58.88984805,1.205358459,0.838906042,1.045263382,0.683354799,5,5,6,6,2.1399,22.6344,66.25053,959.36781,14.96653416,0.5874,6.40453,28.98938,128.89088,88.14413122,0.17552125,TRUE,26,4,3.2,7,7.2,19,98.3,0.105263157894737
"Nm_202","Nm_202",1,13.22902,52.50694,"N",2452.21,0.008969782,0.012150553,0.013619369,0.007682634,">9.0 - 9.5",2,0.84,6.365,2.129833221,0.146754883,0.033021009,16.24,20.728,0.2199625,0.2139125,0.00352,0.01865625,0.00949,0.05,40.5,91.34269292,14.51270723,64.50411224,0,NA,80,65,10,40,15,51.53803811,32.64042579,24.57619334,31.95881931,36.73541229,28.66354317,17.01379616,31.78429866,0.391016251,0.30038052,0.212230943,0.358802147,4,3,3,3,1.98197,12.84443,27.54492,678.56451,14.25150592,0,0,0,130.86849,1847.986607,0.25162875,FALSE,33,4,6.2,10,8.6,23,79.8,0.0869565217391304
"Oh_01","Oh_01",1,13.58918,52.47647,"O",5509.15,0.045179895,0.024153631,0.007080829,0.012778217,">8.0 - 8.5",1,0.91,7.41,0.813755482,0.053201804,0.011537437,7.14,41.07,0.130025,3.2825,0.0053075,0.01411125,0.00870125,0.04,63.15,116.7407481,15.30576992,70.86465836,0,NA,90,40,50,40,10,0.930842193,10.96370594,22.99557823,30.17806302,0.024205232,6.913974475,15.71979945,24.64113963,0,0.038515307,0.095401179,0.186438112,2,3,3,3,0,3.96326,27.20094,701.20011,245.0701083,0,0,0,73.98759,2004.893797,0.158145,TRUE,27,1,0.1,5,3.2,22,60.6,0.0227272727272727
"Oh_02","Oh_02",1,13.57169,52.50037,"O",4377.89,0.104210158,0.033180369,0.009939033,0.008317581,">8.5 - 9.0",1,0.99,6.58,1.244972706,0.089311458,0.016751461,66.96,56.42,0.1171625,0.0393,0.000879125,0.01371375,0.0071975,0.07,41.55,22.16763712,13.9386344,74.79522705,0,NA,99,80,0,80,20,31.98678768,40.50267815,38.54347688,37.22406774,29.56213965,28.52876463,21.8240818,36.30797826,0.135029873,0.138162055,0.136970671,0.248780598,3,4,4,4,0.63213,13.76431,47.56707,895.01815,54.53652568,0,0,0,134.37166,1187.40511,0.138952875,TRUE,28,4,34.1,9,37.3,19,77.9,0.105263157894737
"Oh_03","Oh_03",1,13.20594,52.44694,"O",19057.63,0.277206653,0.065696386,0.019131776,0.005775519,">8.5 - 9.0",1,0.91,6.7,1.082863033,0.080089234,0.012077113,50.15,38.68,0.2112875,0.10145,0.0031475,0.0165675,0.00676875,0.03,62.7,65.20759152,13.51825857,89.66056061,0,NA,95,75,1,75,10,17.16886453,6.112956613,6.58697898,15.16962981,0,0,1.939076189,11.871585,0,0,0.018943751,0.106305071,1,1,3,3,0.72654,2.38515,9.2542,453.46468,126.8834206,0,2.3481,5.34365,35.16266,188.606386,0.23777125,TRUE,31,3,1.2,11,8.4,20,105.2,0.075
"Oh_04","Oh_04",1,13.20171,52.58678,"O",4281.69,0.019584414,0.027434754,0.014480996,0.004477665,">8.0 - 8.5",1,0.71,5.015,0.752561986,0.05111813,0.015574119,77.03,30.53,0.0934125,0.874625,0.0070625,0.0498,0.01900875,0.12,17.2,20.26532602,14.73319149,48.32259941,0,NA,90,60,20,30,15,0.784108729,1.233163376,1.113355957,17.68439016,0,0,0.197829169,19.03965671,0,0.000738852,0.003520062,0.144905278,1,2,3,3,0.07167,1.33577,2.73574,385.71028,108.9645845,0,0,0,25.13261,2256.446641,0.16928375,TRUE,13,0,0,1,1,12,79.1,0
"Oh_07","Oh_07",1,13.61755,52.42034,"O",11159.68,0.535567246,0.055946811,0.016512482,0.011379513,">8.0 - 8.5",1,0.73,7.265,0.772260189,0.039668372,0.011012821,11.45,19.502,0.0878875,0.02179,0.001181625,0.01429125,0.00695625,0.02,55.35,159.9497244,19.4675808,70.20939636,0,NA,70,40,50,5,15,0,1.500315081,1.96829772,18.10067919,0,0,0.026249063,14.33584645,0,0,0.004712385,0.112300011,0,1,3,3,0,2.59467,6.5293,468.09505,221.1165791,0,0,0,72.6293,2779.547834,0.110316625,FALSE,18,1,1,4,7,14,48,0.0357142857142857
"Oh_10","Oh_10",1,13.64302,52.45719,"O",1932.45,0.080436885,0.127442951,0.071949733,0.011683661,">8.5 - 9.0",2,0.44,5.51,1.379478574,0.077705823,0.011337642,2.95,22,0.1797375,28,0.0403875,0.334125,0.139825,0.06,14.5,74.40799618,17.74973202,121.8694763,0,NA,96,35,60,70,10,9.234289346,14.96974977,16.46243013,16.41520299,0.087760385,2.697037616,10.76605206,13.87343453,0,0.042818115,0.089872343,0.101542677,2,3,3,3,0.12203,4.03958,17.10092,418.78192,126.5213966,0.36807,2.05567,4.05357,30.43321,99.74679046,0.694075,FALSE,38,1,0.1,6,1.5,32,52,0.015625
"Oh_12","Oh_12",1,13.09988,52.41562,"O",17655.77,0.40511162,0.053393742,0.020007662,0.004361787,">8.0 - 8.5",2,0.9,5.365,1.769120336,0.142303839,0.025364556,39.87,26.66,0.1612875,1.05375,0.00566625,0.044675,0.01456375,0.04,25.35,240.917559,12.43532896,69.77119827,2,180,96,70,35,40,12,7.514622049,6.692000501,7.25840813,NA,0.233340308,1.719878222,4.618112736,NA,0.000676009,0.024462439,0.049207299,NA,3,3,3,NA,0.18115,2.47823,12.33944,505.1895,197.3458148,0,0,0,36.99816,2613.926446,0.2261925,FALSE,14,1,2,2,3,12,64,0.0416666666666667
"Ol_03","Ol_03",1,13.63198,52.46215,"O",1830.69,0,0.004211459,0.013360742,0.008824053,">8.5 - 9.0",2,0.55,6.835,0.777844429,0.044054687,0.011566123,8.46,42.4,0.11485,0.1097625,0.00549625,0.01522,0.00594625,0.02,58.9,60.11668127,17.65383244,67.2482338,0,NA,85,60,20,20,30,0,7.392669123,14.70123078,18.17604397,0.118634714,2.722309868,9.761914776,15.34922023,0,0.022559473,0.072431878,0.115542885,1,3,3,3,0,3.30799,13.11711,444.89189,347.2114725,0,0,3.80644,31.9976,575.9798494,0.1415125,FALSE,45,6,6.4,20,22.9,25,83.9,0.12
"Ol_06","Ol_06",1,13.4916,52.58245,"O",23288.49,0.004021696,0.00595043,0.002466152,0.001391105,">8.5 - 9.0",1,0.96,6.46,0.465541467,0.031895648,0.004389329,2.76,24.49,0.0710625,0.031825,0.000807375,0.01166375,0.00833375,0.01,23.25,34.77509761,14.59626913,106.1495399,0,NA,70,50,40,20,10,10.0483963,11.89397981,15.83220475,35.35354676,0.126792997,12.23155805,28.86529068,33.78413172,0.019660836,0.071996822,0.14889299,0.250051098,3,3,3,3,0.95192,9.13082,31.60915,809.54682,195.6924376,3.12851,4.71818,6.70417,80.83235,8.360752085,0.091867375,FALSE,20,2,0.2,7,6.4,13,59.1,0.0769230769230769
"Ol_11","Ol_11",1,13.61681,52.43841,"O",1949.16,0,0.005042118,0.001981011,0.011816619,">9.0 - 9.5",2,0.55,5.115,1.365962207,0.06166574,0.009220064,14.84,8.181,0.0809125,0.496875,0.00885875,0.061675,0.0296875,0.05,15.4,67.28423621,22.1485405,149.1427002,0,NA,60,40,15,50,10,5.144645446,1.495169104,6.139743008,18.1099368,0,0,8.839241287,15.13193218,0,0,0.057962932,0.118294345,1,1,3,3,0,0.40697,6.577,457.97944,483.904326,0,0,0,71.51191,2096.643829,0.18113375,FALSE,34,3,2.2,9,4.6,25,51.9,0.06
"Ol_16","Ol_16",1,13.15649,52.57805,"O",2549.46,0,0,0.006767007,0.002693879,">8.0 - 8.5",1,0.68,4.32,2.307762384,0.126707099,0.015627759,66.94,25.28,0.10615,6.8325,0.0472375,0.264625,0.211725,0.19,13.15,15.4464472,18.21174049,147.7340546,0,NA,95,40,30,30,10,0,0.100126067,0.053746846,NA,0,0,0.001671049,NA,0,0,1.8349e-05,NA,0,1,3,NA,0,0,0,418.02332,1094.343565,0,0,0,42.37192,1940.251055,0.6297375,FALSE,24,1,0.1,8,6.4,16,47.8,0.03125
"Ol_55","Ol_55",1,13.18328,52.41555,"O",7060.25,0.116949387,0.009282912,0.008454036,0.006142845,">8.5 - 9.0",1,0.91,6.49,1.633131325,0.078431789,0.016863677,14.49,35.56,0.1204125,0.0841625,0.001709875,0.2845,0.00569875,0.03,33.4,59.28458334,20.82239628,96.89904022,3,360,99,60,5,75,10,0,7.534940189,16.86750831,14.09449459,0,2.12050328,4.92621003,10.17291361,0,0.026706886,0.087124692,0.093094352,0,3,3,3,0,2.14371,24.26059,495.9743,349.5506528,0,0,8.11416,35.96898,608.0131096,0.412321125,TRUE,48,1,0.1,9,8.5,39,91.4,0.0128205128205128
"Om_02","Om_02",1,13.58431,52.47911,"O",6501.37,0.105115037,0.017779165,0.007334032,0.01111984,">8.0 - 8.5",1,0.74,5.425,2.040058613,0.154830806,0.026242923,3.59,38.85,0.1134,1.61375,0.0105825,0.057975,0.02353,0.09,25.4,40.67931823,13.17583609,77.72343063,0,NA,97,80,10,25,15,2.205730777,17.25246392,24.82011196,31.80634282,1.56594772,11.92875509,16.52047681,27.22712391,0.0070604,0.068100013,0.096281854,0.203933921,3,3,3,3,0.02331,5.12277,29.14545,746.37841,140.925091,0,0,0,80.97838,2153.235078,0.2054875,FALSE,41,2,0.2,6,4.2,35,94.1,0.0285714285714286
"Om_05","Om_05",1,13.24726,52.58265,"O",5377.03,0.151802581,0.022707274,0.007217074,0.019619618,">9.0 - 9.5",1,0.83,4.605,1.176815391,0.086565182,0.012388364,90.26,46.26,0.1175875,4.4775,0.0155,0.05225,0.041875,0.1,24.1,18.01443526,13.59174252,95.09579468,0,NA,85,60,20,10,25,1.813939924,1.190420833,3.60224437,23.73254836,0,0.031340832,2.266830579,19.97223522,0,0.00076875,0.0168382,0.202555201,1,3,3,3,0.22798,2.25057,9.53374,558.15186,65.66011378,0,0,0,11.49541,4111.070049,0.2272125,TRUE,31,2,10.1,9,27.3,22,48.9,0.0454545454545455
"Om_06","Om_06",1,13.2075,52.58202,"O",13850.92,0.011668073,0.011383201,0.013430295,0.008439885,">8.5 - 9.0",1,0.78,4.115,0.575417906,0.034625225,0.004160837,77.79,18.456,0.2177625,1.49375,0.02051875,0.4465,0.068,0.05,11.65,2.620914666,16.62746811,138.3138123,0,NA,60,40,15,15,10,4.387029376,3.042456629,6.037511216,19.55157456,0,0.202868797,4.751809001,21.19579188,0.000827378,0.007579964,0.037822314,0.175489936,2,3,3,3,0.3224,1.56397,7.43023,428.02119,65.59345451,0,0,0,22.48766,1937.568428,0.75278125,FALSE,19,1,0.1,5,4.2,14,46.5,0.0357142857142857
"Om_08","Om_08",1,13.15125,52.45452,"O",5886.15,0.151692432,0.015166346,0.00416655,0.00572273,">9.0 - 9.5",2,0.82,4.085,0.8616952,0.073449321,0.010861549,19.19,20.029,0.225825,5.44875,0.0509875,1.16375,0.1405875,0.07,16.7,12.61037031,11.73376846,79.54317856,1,135,85,55,20,40,20,15.6888361,18.68803831,14.12293442,10.9633903,3.38205743,12.13017985,8.650334579,6.064625327,0.034332176,0.108376967,0.085243056,0.054506103,3,3,3,3,0.54304,6.70395,17.59145,296.1314,75.49092992,0,0,0,23.74559,3655.062891,1.58115,FALSE,30,0,0,5,10.1,25,60,0
"Ol_50","Ol_50",1,13.19511,52.47137,"O",3623.99,0.018942887,0.002284459,0.001153353,0.00694385,">9.0 - 9.5",2,0.78,6.87,0.863079041,0.066981696,0.010904071,13.64,29.58,0.1044875,0.0514625,0.0017825,0.0140675,0.00458,0.03,46.35,46.97491921,12.8859911,79.15273666,5,180,96,80,10,40,20,0,2.14418511,2.185162275,11.06795087,0.002747563,0.033178759,0.880315066,7.431911537,0,0,0.00793725,0.065875686,1,2,3,3,0,1.52005,4.04909,305.82731,283.9375106,0,0,0,23.84125,2433.490242,0.1249175,FALSE,36,5,11.3,14,22.7,22,113.3,0.113636363636364
"Om_15","Om_15",1,13.14572,52.58331,"O",16995.29,0.008358667,0.01139472,0.005583828,0.002132846,">8.0 - 8.5",1,0.92,4.41,1.88412565,0.174235299,0.026415169,5.47,27.33,0.0856625,1.952375,0.02459,0.1550625,0.042625,0.15,23.05,40.22602277,10.81432056,71.48315048,0,NA,98,80,10,70,10,0.049221682,0.228398343,1.63542662,NA,0.015283332,0.064443144,1.995261011,NA,0,0,0.011660273,NA,2,2,3,NA,0,0.82724,5.21357,375.59943,519.4879849,0,0,0,32.08879,2857.856509,0.30794,FALSE,23,0,0,3,1.2,20,93.5,0
