"","ID_plot","Analysis","Long","Lat","Age","Size_Patch","ShDry_100","ShDry_500","ShDry_1000","ShDry_5000","Air_temp","Urb_clim","SVF","pH","C","N","S","P","K","Cu","Zn","Cd","Pb","Ni","Wc","Lf","KAK","C_N","C_S","Slope","Aspect","Cover_total","Cover_herb","Cover_moss","Cover_litter","Height_herbs","Seal_100","Seal_500","Seal_1000","Seal_5000","Pop_100","Pop_500","Pop_1000","Pop_5000","FAR_100","FAR_500","FAR_1000","FAR_5000","URBAN_100","URBAN_500","URBAN_1000","URBAN_5000","RdDen_100","RdDen_500","RdDen_1000","RdDen_5000","Road_Dist","RwDen_100","RwDen_500","RwDen_1000","RwDen_5000","Railw_Dist","metals","plots20","SR","SR.neo","Cover.neo","SR.exo","Cover.exo","SR.nat","Cover.nat","prop.neo"
"Nh_10","Nh_10",1,13.51432,52.44011,"N",13094.97,0.219347025,0.148708775,0.112067,0.012585458,">8.5 - 9.0",2,0.94,6.36,1.165534854,0.07585527,0.014390486,7.07,19.727,0.0642,0.164975,0.002367875,0.01671625,0.0068325,0.04,31.8,56.27307447,15.36818171,81.06243515,0,NA,90,65,10,60,15,10.04112297,38.45486093,45.94037175,40.42224873,2.603663133,10.38682427,32.12984061,37.73788252,0.044337683,0.266552445,0.279160495,0.294963043,3,4,4,4,0.03603,9.80307,46.52128,905.59045,131.7314039,0,0,2.48978,86.94336,713.0755133,0.090116625,TRUE,31,4,12.1,10,14.5,21,68.6,0.0952380952380952
"Nh_11","Nh_11",1,13.44811,52.61662,"N",2777.83,0,0.007433772,0.003117903,0.004182674,">8.0 - 8.5",1,0.93,6.23,1.033573389,0.078297887,0.019998829,109.64,99.92,0.26125,1.024,0.0172675,0.0112675,0.065475,0.04,60.45,44.20105446,13.19962502,51.68199348,0,NA,96,60,25,60,20,6.237401261,9.985880579,15.46501477,21.49086466,0,2.508689986,4.986489694,14.06796395,0,0.023497016,0.043737091,0.102745476,1,3,3,3,0.23788,6.22395,22.44736,475.72426,66.07407675,0.53463,2.53455,5.39508,59.11088,73.27152111,0.35526,FALSE,19,2,4.1,7,7.4,12,55.6,0.0833333333333333
"Nh_51","Nh_51",1,13.24265,52.4882,"N",1676.26,0.157385168,0.049086624,0.014367571,0.007836765,">8.0 - 8.5",1,0.97,6.79,0.683435082,0.046021169,0.008175666,10.65,26.81,0.0736,0.02628375,0.00121025,0.0117175,0.00817125,0.01,28.55,106.0190623,14.84275723,83.92105865,0,NA,95,45,30,50,10,0,4.375614422,6.090360397,26.73836755,0,0.016273498,0.049437551,27.65990447,0,0,0.007284966,0.30562771,0,2,3,3,0,0.1578,6.85424,620.7154,495.53935,0,0,1.44377,105.8029,996.1355877,0.094699,TRUE,26,2,0.2,8,4.6,18,59.5,0.0555555555555556
"Nh_201","Nh_201",1,13.54843,52.48448,"N",334.98,0.279038089,0.072362301,0.038782388,0.011223307,">9.0 - 9.5",2,0.97,7.505,0.464432031,0.012352483,0.007259384,3.59,0,0.0497125,0.037875,0.0012205,0.00842375,0.004275,0.01,32.2,114.2964058,37.84959412,64.24059868,0,NA,70,40,50,30,15,15.72872614,22.64304139,28.64226096,37.64948435,0,3.994589351,11.12485519,33.73548779,0.068385768,0.082874393,0.106755169,0.262614664,2,3,3,4,0.2247,3.36765,21.46089,857.46871,67.86354317,0,1.85103,4.0734,210.54012,218.4488589,0.06363175,FALSE,19,3,0.3,6,3.4,13,52.4,0.115384615384615
"Nl_03","Nl_03",1,13.12965,52.47737,"N",963.66,0,0.005145043,0.002390845,0.010569636,">8.5 - 9.0",1,0.96,7.32,0.709151715,0.03896773,0.010475532,14.27,34.09,0.0607,0.01633375,0.00031975,0.01347125,0.00562125,0.06,48.15,197.6751795,18.19570923,68.20000458,0,NA,85,50,10,40,20,0,15.55840432,18.54935614,NA,0,11.33173089,11.53805783,NA,0,0.031013792,0.053148118,NA,0,3,3,NA,0,6.11009,27.46143,212.15543,151.1478975,0,0,0,0,6359.933193,0.08011225,FALSE,39,6,4.2,13,11.5,26,84.9,0.115384615384615
"Nl_05","Nl_05",1,13.47589,52.45935,"N",11625.59,0.092779945,0.008277208,0.004275217,0.010999645,">9.0 - 9.5",2,0.95,5.065,0.714499563,0.049172176,0.010830039,72.96,88.97,0.17515,0.0707625,0.00515375,0.01022375,0.00822375,0,46.7,154.7911347,14.52864075,66.11255074,2,135,40,40,1,2,15,26.21031426,43.2063175,41.54472009,45.69246063,34.24013813,67.957262,49.17456817,58.1669784,0.062046735,0.366018127,0.367592504,0.447552457,3,5,4,6,0.3614,9.45867,30.43616,916.38853,86.23795703,0,0.25374,0.91532,145.51814,312.3541219,0.19875125,FALSE,36,5,3.3,12,20.4,24,48.5,0.104166666666667
"Nl_09","Nl_09",1,13.37276,52.48854,"N",1901.76,0,0.002754267,0.001014863,0.002766646,">10.0 - 10.5",3,0.93,6.76,0.471307918,0.01960176,0.009611403,12.81,12.578,0.05145,0.127925,0.0036575,0.0070725,0.02504,0.01,36.25,28.06817485,24.10526943,48.9981823,0,NA,75,40,40,30,20,49.02856021,56.65716858,62.49441946,63.13079393,4.187672341,101.1527812,125.783157,104.3926314,0.068642656,0.642785989,0.92134796,1.102627962,4,6,6,6,0.54343,10.90654,48.70831,1226.34806,70.54378217,2.58122,8.42965,13.87872,109.95057,15.0753334,0.08722,TRUE,29,4,3.1,8,6.3,21,43.7,0.0952380952380952
"Nl_14","Nl_14",1,13.38538,52.53438,"N",602.17,0.014442817,0.001646794,0.000430059,0.001361672,">10.0 - 10.5",4,0.86,7.245,1.060434282,0.036825435,0.015726061,57.37,34.95,0.21715,0.03885,0.000795375,0.01041125,0.007125,0.03,64.05,142.2276169,28.8163805,67.92723656,0,NA,75,55,10,30,10,33.92417996,62.77824415,71.15972722,62.52566822,19.57033212,105.276738,112.8813013,106.2992733,0.15929378,1.095209924,1.279300111,1.046607203,3,6,6,6,0.44362,9.81369,44.83812,1136.76085,49.33403221,0,0,0,144.91583,1309.294245,0.235481625,TRUE,32,7,32.4,13,34.8,19,34.5,0.184210526315789
"Nl_16","Nl_16",1,13.48428,52.63044,"N",22295.49,0,0,0.000246298,0.002679122,">7.5 - 8.0",1,0.95,6.62,0.890701652,0.069741994,0.016981997,122.22,32.72,0.28575,0.14435,0.00463375,0.019675,0.01271625,0.04,42.3,31.48148301,12.77587891,52.44220734,0,NA,99,50,30,50,10,6.205673136,10.042086,18.95492434,18.12829691,0,0,27.79578643,11.61431313,0.00623518,0.024413237,0.160805546,0.089028451,2,2,3,3,0.42382,5.10407,26.86578,450.91561,50.16975662,0.58692,2.52188,5.68659,53.72275,99.50412315,0.322775,FALSE,30,4,4.1,11,8.4,19,65.5,0.105263157894737
"Nl_18","Nl_18",0,13.28318,52.56943,"N",1997.52,0,0.005716165,0.05467964,0.018884828,">8.5 - 9.0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,95,50,3,60,30,0.940808324,12.34553491,23.45986982,32.53994179,0,9.284352764,28.0752832,28.38867219,0.002465691,0.059537301,0.207026703,0.303360185,2,3,3,3,0,3.71146,24.68307,742.57911,125.3609776,0,0,0,31.323,2389.326857,NA,FALSE,35,5,5.1,10,10.2,25,66.7,0.1
