plot;date;plant;indv;rec;rec_1;rec_2;act_fl;act_st;act_le;act_c;L_act;ant;aphid;switch;no;steps;walk;exp;act_level;left;random;
Nl-55;14.08.2018;Alpha;D;C52;1;0;1;1;1;1;20;1;1;0;1;0;0;1;2;0;0;
Nl-55;14.08.2018;Alpha;E;C53;1;0;1;1;1;0;kA;0;0;0;0;0;0;1;2;1;0;
Nl-55;14.08.2018;Alpha;F;C54;1;0;1;1;0;0;4;kA;0;0;1;0;1;0;2;0;biting stalk;
Nl-55;14.08.2018;Alpha;G;C55;1;0;1;0;0;1;2;kA;kA;0;0;1;0;0;2;0;0;
Nl-55;17.08.2018;Beta;A;D33;0;1;1;0;0;1;2;kA;kA;0;1;0;0;0;1;0;0;
Nl-55;17.08.2018;Beta;B;D34;0;1;1;0;0;1;2;3;kA;0;0;1;0;0;2;0;0;
Nl-55;17.08.2018;Beta;C;D35;0;1;1;0;0;1;0,5;2;kA;0;1;0;0;0;2;0;0;
Nl-55;19.08.2018;Beta;A;D59;1;0;1;0;0;1;0,5;1;10;0;1;0;0;0;2;0;0;
Nl-55;19.08.2018;Beta;B;D60;1;0;1;0;0;1;0,5;1;4;0;1;0;0;0;1;0;0;
Nl-55;19.08.2018;Beta;C;D61;1;0;1;1;1;1;30;1;10;1;0;0;1;1;3;0;0;
Nl-55;19.08.2018;Beta;D;D63;1;0;1;1;1;1;15;1;7;1;0;0;1;1;3;0;0;
Nl-55;19.08.2018;Beta;E;D65;1;0;1;0;0;1;0,5;4;15;0;1;0;0;0;1;0;0;
Nl-55;22.08.2018;Beta;A;E23;0;1;1;0;0;1;0,5;2;30;0;1;0;0;0;2;0;0;
Nl-55;22.08.2018;Beta;B;E24;0;1;1;0;0;1;1;1;8;0;0;1;1;0;2;0;0;
Nl-55;22.08.2018;Beta;C;E26;0;1;1;0;0;1;0,5;2;6;0;1;1;0;0;kA;0;0;
Nl-55;22.08.2018;Beta;D;E27;0;1;1;0;0;1;6;2;12;1;0;0;1;0;3;0;0;
