record name;time length(s);states;ow
E29;212;w-cl (6s)-li-cl (8s)-a-cl-w-cl (4s)-k-cl-w-wf-str-cl (4s)-w-str (5s)-wf-str-w (5s)-wf-w-st (4s)-w (4s)-wf-w (3s)-str-cl (17s)-w-cl-a-cl (4s)-li-cl (4s)-w-a-w-wf-st-cl (42s)-w-cl (10s)-wf-cl (5s)-wf-k-cl (4s)-w-str-cl-w-wf-str-w (3s)-wf-str-wf (3s)-w-wf-str-w (3s)-cl (4s)-w-wf-a-wf-str-str-str-cl;
C80;117;cl(7s)-a-k-cl (13s)-st-a-cl (3s)-st (5s)-cl-a-cl (17s)-st (10s)-cl (7s)-st (3s)-li (3s)-st (4s)-w-st (10s)-a-st (19s);
C81;185;w-cl (22s)-w-cl (45s)-w-cl-k-cl (4s)-a-cl-a-cl (40s)-w-cl (5s)-k-cl (7s)-w-cl (9s)-w-cl (3s)-a-k-cl (10s)-a-cl (8s);
C84;211;cl (6s)-exp (3s)-cl-li-a-cl (7s)-exp (4s)-cl (6s)-a-k-cl (11s)-a-st (3s)-cl (3s)-exp (8s)-cl (7s)-a-cl (10s)-st (9s)-cl (14s)-k-cl (3s)-a-cl-a-cl-li-cl (5s)-ow-cl (4s)-w-cl (14s)-a-cl (7s)-w-cl (6s)-a-cl-a-cl (11s)-li (3s)-cl (5s)-w (6s)-cl-k-cl (5s)-w (9s)-a-cl;jump
C86;130;li (4s)-cl (36s)-w (3s)-st (4s)-k-str-cl (11s)-a-cl (4s)-li (3s)-cl (10s)-w (3s)-cl (22s)-w (3s)-wf-w-cl (12s);
C88;217;exp (10s)-st-exp (29s)-a-cl-a-a-cl (3s)-str-a-k-st (3s)-cl (5s)-w (3s)-st (3s)-cl (9s)-w (3s)-cl (10s)-w (4s)-cl-wf (3s)-st-w (3s)-st (3s)-cl (20s)-k-st-wf (3s)-cl-a-cl (40s)-a-cl (23s)-a-cl (6s);
A25;247;w-cl (12s)-a-st-cl (5s)-str-cl (3s)-a-cl (5s)-k-cl (3s)-a-cl (3s)-a-wf-cl-w (4s)-wf-w-a-w-wf-w-wf-w (4s)-wf-a-w-a-stf (9s)-w-a-w (3s)-a-w (7s)-stf  (4s)-w-a-a-w-a-w (3s)-wf-a-w (4s)-stf (4s)-exp (25s)-a-stf (32s)-str-li (4s)-w-a-w-str-w-str-w-str-w (3s)-a-w-a-w-a-w (5s)-a-stf (17s);
A26;205;li-cl (4s)-a-cl-a-w-str-w (10s)-a-w (3s)-cl-w-st-w-k-w (8s)-a-w-str-w (4s)-a-w (6s)-a-w (5s)-a-cl-a-li (9s)-cl (17s)-li (16s)-a-li-w (3s)-st-a-cl (6s)-a-cl (4s)-st-w-cl-w (4s)-a-w-a-a-w-a-str-w (4s)-str-w (6s)-a-w-a-w (4s)-a-w;
A27;95;st-cl-st-a-str-st-w (17s)-a-w (3s)-wf-li-cl (10s)-a-a-str-a-cl-a-wf-str-a-cl-w-a-a-w-wf-w;
A28;252;w-a-wf (4s)-stf-wf-li-stf-wf-stf-wf-stf-wf-stf-wf-stf-wf-stf-wf-a-w-str-w-st-str-w (3s)-st (4s)-w (3s)-a-cl-a-w-a-w (33s)-wf-w-a-st-w-a-cl-a-cl (4s)-a-a-cl-w-str-w (12s)-li (4s)-w (3s)-cl (8s)-li-a-cl (4s)-li (13s)-cl-li-cl (9s)-w-wf;
A29;196;cl (5s)-a-cl (5s)-w-stf (9s)-w-st-cl (4s)-li (4s)-cl-li-w-st-w (6s)-a-w-a-w (14s)-a-cl-w-stf (7s)-li-cl-a-cl (4s)-exp (34s)-a-w-str-w (21s)-st-w-st-w (6s)-st (4s)-exp (12s);
A30;204;cl-str-st-str-st-str-w-str-a-a-cl-a-cl-a-a-cl (14s)-a-a-cl (3s)-st (16s)-cl-li (7s)-a-li (5s)-a-cl (7s)-w (5s)-a-cl (19s)-w-a-w-a-w-a-cl-str-li (6s)-cl-li (3s)-cl (7s)-li (10s)-cl (13s)-st-a-cl-st-str-st-cl (7s);
C26;168;cl-st-cl (7s)-li-st (5s)-li-w-str-st (5s)-w-cl (7s)-li (6s)-cl-a-cl-li (10s)-cl-k-cl (7s)-w-a-st-cl-a-cl (6s)-w (5s)-cl-a-cl (4s)-w (4s)-cl-w (7s)-st (21s)-w (3s)-wf (5s)-w (5s)-wf (7s)-st-w (4s)-cl;
C27;157;cl (33s)-w-st-w-str-st-w-str-str-w (13s)-a-w-str-st-str-w-st-str-cl-a-w (3s)-st-str-a-a-w-str-w-a-st-w-st-exp (4s)-a-w (4s)-a-w-str-str-w-str-w-str-w-str-w-a-w-str-exp (24s);
C28;177;cl (3s)-a-k-cl (14s)-a-cl (21s)-k-cl (5s)-a-cl (30s)-k-cl (29s)-a-cl-a-cl (12s)-st-a-cl (10s)-st (11s)-cl-st-cl (17s);
C29;169;st-w (10s)-st-w (8s)-st-w-st-str-a-cl (7s)-a-cl (4s)-w-st-a-w-a-a-cl (6s)-exp (17s)-st (4s)-exp (5s)-w-st-exp (20s)-st-w-st-exp (32s)-st (6s)-exp (7s);
C30;110;w-wf (7s)-w-st-w (12s)-cl-w (4s)-stf-wf-stf-wf (4s)-stf-wf (6s)-w (3s)-st (4s)-w (3s)-st (6s)-w (7s)-wf-w (10s)-stf (6s)-w (5s)-st-exp (8s);
D12;369;st (11s)-cl-st-cl (3s)-str-k-cl-st (60s)-li-w-st-li-w (5s)-cl (16s)-st (6s)-w-a-a-str-w-a-cl-w (3s)-st (8s)-w-cl-w-st-str-w (4s)-cl (4s)-a-w-st-w (10s)-st-w (5s)-st-w (4s)-a-w (14s)-wf-w-wf (3s)-w (7s)-wf-w (6s)-stf-w-wf-a-w (15s)-a-li (6s)-cl (6s)-st (4s)-w (10s)-a-k-st-str-st (3s)-a-w (6s)-st-cl (4s)-w-st (3s)-w (3s)-str-cl (7s)-st (8s)-cl (10s)-li-k-cl (7s)-st-cl (4s)-w-cl (3s);
D13;206;st (13s)-cl (4s)-st (4s)-cl (10s)-st-a-cl (3s)-a-w-cl (14s)-k-cl (9s)-li-cl (15s)-st-cl-st (4s)-cl-st (3s)-cl-st (3s)-w-cl-w (4s)-k-st (4s)-cl (23s)-st (4s)-cl (11s)-li (3s)-cl (13s)-a-st-cl (12s)-st (9s)-k-cl (4s)-w-cl (4s)-st (5s);
D14;84;st-w (3s)-cl (5s)-w (5s)-wf-st-w (3s)-wf-w (4s)-a-cl-w (4s)-wf-exp (39s);
D15;290;st (76s)-a-st (3s)-cl-st (4s)-a-cl (4s)-a-cl (7s)-k-cl-str-cl (12s)-str-cl (4s)-ow-w-cl-st-cl (4s)-str-w-st-cl-str-a-cl (12s)-li-cl (4s)-a-cl-str-cl-st-cl (3s)-str-w-cl (6s)-w-cl (9s)-st-cl-st (33s)-a-cl (4s)-st (7s)-a-cl (4s)-li (6s)-cl (13s)-w (4s)-st-cl (13s);
E2;178;st-str-st-w (8s)-st-w-st-str-str-str-w (5s)-st (5s)-a-st (4s)-w (4s)-wf-str-str-str-w (14s)-wf-stf-wf (7s)-stf (24s)-w (6s)-st-w (3s)-str-st (3s)-w (5s)-a-st-w (24s)-a-li-a-a-st (4s);
E3;209;cl (21s)-li (3s)-cl (16s)-st (3s)-cl (11s)-st (8s)-cl (10s)-a-cl (16s)-a-st (10s)-cl (7s)-st (4s)-cl (9s)-st (17s)-cl (11s)-st (11s)-cl (12s)-a-cl-a-k-cl (15s);
E5;164;cl (6s)-k-cl-a-cl (7s)-li (9s)-a-cl (57s)-a-k-cl (48s)-str-cl (4s)-a-cl (11s);
E7;179;xl-str-st-str-w-cl-w (4s)-cl-st-a-a-a-str-st-w-st-cl (3s)-str-wf-w-cl (3s)-str-st (10s)-str-li (3s)-st-k-a-w-str-w-st-str-w (14s)-cl (5s)-w-cl-st (37s)-str-w-a-w (10s)-a-w (3s)-cl (7s)-str-w (3s);
E8;169;cl (3s)-li (5s)-cl (7s)-st (9s)-cl (11s)-a-cl (4s)-a-st (4s)-str-cl-w-a-st-a-li-w (3s)-cl-a-k-str-st-str-cl (38s)-st (17s)-cl-str-st (3s)-cl (4s)-a-w (3s)-a-w-st (4s)-a-cl (4s)-st;
E10;145;cl (4s)-w (4s)-cl (16s)-k-st-a-w-st (5s)-a-w-cl (8s)-st-cl (39s)-st-cl (48s);
 E62;169;st (8s)-cl (14s)-st (11s)-cl (5s)-st-w-str-k-st-cl (8s)-st (4s)-wf-str-a-w-cl-st-str-str-st-w (3s)-cl (24s)-a-cl (3s)-w-st-cl (16s)-li (4s)-cl (9s)-str-a-w-st-k-li (3s)-w-st-w-st-cl (4s);
E63;122;a-k-exp (21s)-str-w (4s)-a-exp (9s)-a-li-w (9s)-a-exp (45s)-st-w (7s);
E65;144;st-w-a-w-a-wf-cl (3s)-wf-str-w (3s)-wf (7s)-st (3s)-w (9s)-st (4s)-wf (3s)-w-st (5s)-str-cl (3s)-li (7s)-st (6s)-a-w (3s)-st (3s)-cl (20s)-a-k-cl (8s)-w-str-cl (14s)-a-cl (4s)-li (5s)-cl (6s);
E68;147;cl (14s)-w-a-cl (3s)-w-a-cl (10s)-st (5s)-cl (24s)-a-cl (12s)-a-cl (44s)-st (10s)-cl (8s)-li (4s)-cl;
E70;209;st-exp (49s)-a-a-wf-li-wf-st (3s)-k-str-w (3s)-wf-str-wf (3s)-w-wf-st (5s)-w-li (10s)-wf (3s)-st-str-st-str-st-str-st (14s)-li (7s)-st(4s)-w-st-w (4s)-wf (4s)-w-cl-a-li (3s)-w-wf-a-st (5s)-li (4s)-st (3s)-cl (5s)-wf-str-st (7s);
E51;193;w-cl (17s)-a-cl (4s)-k-cl (11s)-k-cl (3s)-str-exp (15s)-k-a-w (3s)-a-cl-st (4s)-w-li-w-str-cl-w-cl-str-cl-w-a-cl-w (5s)-str-a-w (3s)-a-a-a-a-cl-a-w (4s)-a-st-w (5s)-a-w (3s)-a-w-a-w-cl (5s)-w (5s)-cl-a-cl-w-cl-k-w-a-w-cl (6s)-a-li (5s)-cl (15s)-w (3s)-a-w-a-w (4s)-cl (4s)-w-cl (3s);
 E52;56;a-str-cl (3s)-a-cl (6s)-w-cl (6s)-w-a-a-cl (3s)-a-w-a-w (3s)-a-w-a-w (3s)-a-w (4s);
E54;183;a-cl (3s)-a-cl (7s)-a-st-w-str-w-str-a-a-a-cl-a-cl (7s)-w-st-cl-a-cl (9s)-a-cl (3s)-a-a-a-cl (4s)-str-a-cl (4s)-li (4s)-a-cl (5s)-a-cl (8s)-w (8s)-cl (9s)-a-cl (6s)-st-a-a-cl (9s)-w (3s)-cl (3s)-a-cl-w (7s)-a-cl (13s)-w (4s)-a-a-cl-li-cl (5s);
E56;189;str-str-cl (5s)-a-cl (3s)-w (3s)-cl (10s)-li-cl (3s)-a-cl (7s)-w-cl (4s)-a-cl-a-cl-a-a-cl (4s)-a-cl-w-lli-w (9s)-str-str-w-a-w (3s)-cl-w-cl-w-a-w-cl-a-a-cl-w (3s)-cl (3s)-a-cl-str-w-cl-str-str-cl-w (4s)-st-cl-a-w (4s)-st-a-str-cl (4s)-w (4s)-a-cl-str-w (3s)-str-cl (3s)-li (4s)-cl (4s)-w (5s)-cl (10s)-a-a-cl (5s)-w (3s)-st-w-st (5s)-w-st-k-w;
E58;146;st (3s)-cl-a-w-a-w (3s)-st-cl (4s)-exp (9s)-cl (6s)-st-str-str-cl (7s)-w-k-str-w-a-w (4s)-a-str-exp (7s)-a-w-cl-str-a-str-str-w-cl (3s)-a-k-w-a-w (3s)-a-st (3s)-w (10s)-cl (6s)-exp (9s)-str-exp (4s)-str-exp (8s);
E59;163;cl (3s)-w-cl (3s)-a-st-cl-a-c (4s)-a-a-a-cl (4s)-a-w (3s)-st (6s)-w (4s)-cl (5s)-li (4s)-cl (12s)-w (3s)-cl (42s)-st-str-a-cl-k-cl (13s)-str-w-cl (4s)-a-str-cl (4s)-a-cl (3s)-st-cl (4s)-w-st-str-cl (3s);
C91;231;a-wf-str-st-w (6s)-cl (6s)-w-cl (11s)-st (5s)-cl (11s)-a-cl (5s)-w-cl (11s)-a-cl-k-cl-w-a-cl (3s)-a-w-cl (3s)-w-st-w (3s)-st-wf-st (9s)-li (7s)-st (3s)-w-st (3s)-w-cl-w (6s)-st (3s)-wf (4s)-w (7s)-wf (7s)-w-cl (3s)-a-w (4s)-str-str-str-st (3s)-w-a-k-cl (3s)-a-cl (4s)-st-w (3s)-wf-st-w-cl (13s)-w (3s)-st (4s)-cl-w (3s)-str-wf-st-str-str-w (4s)-cl (3s)-w-wf;
C92;218;str-cl-a-cl-a-w-cl (4s)-li-a-a-cl-li-cl-a-a-a-k-cl (6s)-w (3s)-a-a-cl (5s)-w (7s)-cl (6s)-st (3s)-w-a-str-w (12s)-cl-a-cl-w (4s)-st (3s)-k-cl-li (3s)-str-str-str-w (5s)-str-str-str-str-exp (13s)-a-w (3s)-cl (14s)-li (5s)-cl-a-cl (4s)-str-cl (7s)-w (4s)-cl (15s)-k-cl (5s)-li (8s)-cl (4s)-str-cl (5s)-a-cl (6s);
C94;340;cl-w (4s)-cl (3s)-a-cl-w (5s)-str-w (3s)-a-a-cl (7s)-a-cl (4s)-k-cl (3s)-a-str-cl (4s)-a-cl (7s)-w (3s)-a-cl (8s)-w-cl-str-a-cl-w-a-a-a-str-a-exp (10s)-cl-w (3s)-st-a-st-a-cl (4s)-st-str-str-w (3s)-a-w (5s)-st (4s)-a-w (3s)-str-a-str-w (4s)-cl-st-li (8s)-a-str-w (6s)-a-exp (9s)-cl-a-cl (27s)-a-cl (10s)-li (3s)-cl (16s)-w (6s)-cl (4s)-a-w-cl (4s)-st-li (8s)-cl (6s)-a-cl (20s)-a-a-cl (6s)-w-cl (17s)-li (4s)-cl (17s)-a-cl (14s);
C96;220;cl (7s)-w-cl (3s)-a-cl (5s)-li-cl (4s)-w (3s)-cl (4s)-k-cl (17s)-w-cl-a-cl (3s)-a-cl (19s)-w (3s)-a-w (6s)-cl (7s)-a-cl (6s)-a-cl (4s)-w-k-cl-w-cl (7s)-w-k-li (3s)-cl-str-cl (4s)-li (4s)-a-cl-w (4s)-cl-w-a-cl-w (5s)-a-k-cl (7s)-str-str-cl (18s)-w-str-cl (4s)-li (4s)-str-cl (25s)-a-a-cl;
C98;216;exp (13s)-a-w (3s)-a-cl (3s)-a-str-cl (7s)-str-str-cl (7s)-str-str-w-cl-w-str-str-str-cl (4s)-w (3s)-str-str-exp (7s)-str-exp (8s)-st-w-a-exp (26s)-cl-exp (8s)-cl (3s)-w (3s)-cl (5s)-li (3s)-cl-li (4s)-cl (7s)-w (6s)-cl (6s)-exp (7s)-cl (24s)-k-cl (3s)-a-cl-a-cl;
A36;41;cl (9s)-w (3s)-cl (3s)-w (4s)-cl (5s)-wf-cl-w-a-a-w-a-cl;
A37;71;str-st-w-st (3s)-w-str-w-a-w (5s)-wf-str-w (3s)-st-w-st-w-st-w-wf (4s)-stf-w (12s)-wf (5s);
A38;55;li-st-a-w (13s)-cl-w (6s)-cl-w-wf-w-wf-w-wf-w;
A39;178;cl (16s)-a-cl (8s)-w-cl (3s)-w-cl-w-cl (3s)-li-a-cl (13s)-w-cl-a-cl (8s)-w-cl-w-cl-a-cl-k-cl-li (3s)-cl-a-cl (5s)-k-cl-str-li-cl (7s)-w (5s)-cl (3s)-w-cl (5s)-li (5s)-cl (27s)-w;
A40;160;stf (29s)-li-w (26s)-wf-w-str-w (4s)-li (8s)-st-w (20s);
A41;148;cl (5s)-w-cl (3s)-li-cl (11s)-st (7s)-w-cl (4s)-k-cl-w (13s)-stf (7s)-wf-stf (10s)-w (7s);
A42;39;cl (7s)-li-w-cl-li-cl-w (3s)-cl-w (3s)-cl-w (3s)-cl (5s)-w-cl (6s);
A43;183;cl (22s)-str-cl (7s)-str-cl (5s)-st-cl (11s)-st-str-cl (64s)-str-cl (14s)-w-cl (13s)-w (3s)-cl (9s)-k-cl;
B12;83;cl-w-cl-w-st-w-cl-w-cl-st-w-st-w-cl-w-cl (4s)-w-cl (3s)-w-st-cl (4s)-w-st-cl-w-wf (10s)-w (3s)-cl (6s)-st (5s)-w-cl (7s)-str-cl;
B13;398;str-w-a-w-st-li-w-a-k-w (4s)-cl-wf-w-a-w-k-wf (4s)-cl-w-a-w (3s)-wf-stf-str-w-cl-w (4s)-str-w-str-w-st-w-str-wf (4s)-st-str-st-str-cl (7s)-w (8s)-cl-w-str-wf-w-cl (3s)-w-str-w (3s)-wf (3s)-w (9s)-wf (6s)-li-w (3s)-st-cl-w-cl-w-cl-w (4s)-str-k-w-wf (5s)-k-wf (13s)-cl-li (4s)-w-cl (6s)-li-w (11s)-st (15s)-cl-li-w-str-w (3s)-a-w-li-w (3s)-wf-w (3s)-li(5s)-w-cl-st-str-w (3s)-st-w-st-w (6s)-k-w-k-w (4s)-st-w (3s)-cl (3s)-w (8s)-str-w-cl (3s)-w (5s)-cl-w-a-w (5s)-st-w (3s)-wf (6s)-li (4s)-w (3s)-st (7s)-w (10s)-li (3s)-cl (3s)-a-w (8s)-cl (30s)-w-cl (14s)-a-cl-w;
B14;89;cl (3s)-str-st-cl (13s)-str-str-cl-w-cl-w-wf-str-w (3s)-str-w-str-wf-w-str-k-w-st-str-w (4s)-wf-str-w (4s)-cl (3s)-st-cl;
B15;260;cl (20s)-str-cl (3s)-str-cl (5s)-str-cl-w (3s)-cl-li (4s)-cl (3s)-li-cl (24s)-li-cl-w-cl-w (3s)-cl (5s)-w-cl (5s)-str-cl-str-w (7s)-cl-st-w-cl (4s)-li (4s)-w-cl (7s)-str-cl-w-cl-w-cl (3s)-li-cl (3s)-w (9s)-cl (18s)-w-cl-li-str-w-cl-st-w (5s)-li-cl (5s)-str-st (4s)-w-cl (11s)-w-cl (4s)-w-cl (8s)-w-cl (3s)-st (4s)-cl (7s)-k-cl-w (3s)-a-w (6s)-k-w (3s)-k-w;
B16;125;cl (13s)-str-cl (17s)-ow-ow-ow-a-cl (10s)-ow-cl (6s)-st (6s)-ow-st (5s)-cl (20s)-st (3s)-cl (10s)-st (9s);push of the aphid
B17;78;wf (7s)-st-str-w (9s)-cl-li (6s)-w (9s)-str-w (5s)-cl (23s)-li-cl (6s);
C15;281;w-cl-w (3s)-cl (3s)-w-str-w-a-w-str-st (3s)-w-st-cl-st-a-st-a-w (4s)-cl-a-w-cl-w-wf-w (3s)-a-st-cl (19s)-w (6s)-cl (4s)-w (4s)-cl (7s)-a-cl-a-cl (31s)-w-cl-w-st-str-w (4s)-cl-w (3s)-st-k-a-str-str-w-a-w-str-w (4s)-k-w (5s)-st-str-str-str-w-st-w-st-w-st-w-st-w-st-w-st-w-st-w-str-w-st-w-a-w (4s)-st-w (4s)-a-a-k-w-a-st-cl (5s)-li (6s)-cl (4s)-k-cl (11s)-st-cl (13s)-str-st (7s)-w-st-cl (4s)-str-w (3s)-str-cl (10s)-w-k-cl;
C16;279;wf (7s)-st (3s)-w-wf (7s)-st (4s)-str-str-str-w (11s)-st (6s)-w-str-w (4s)-cl-w (3s)-a-w-li-str-w (4s)-cl (4s)-a-cl (3s)-st-k-w (4s)-st (3s)-w-st-w (6s)-st-a-cl-w (5s)-cl-w (4s)-cl (4s)-k-cl-w-a-w-st-w-str-w (3s)-st-w (3s)-st-w-st (6s)-w-st-exp (15s)-st-exp (5s)-str-exp (11s)-st-w (4s)-st-w (5s)-st-str-str-w (8s)-st-a-cl (5s)-st-k-cl (3s)-w (3s)-cl-w-a-w (4s)-a-w (10s)-str-wf-str-wf (4s)-k-wf (5s)-st-li-wf (4s)-w (4s)-str-str-w-a-a-w;
C17;301;st (9s)-cl-st (17s)-cl-a-st (4s)-str-cl (14s)-a-cl-a-cl (9s)-st (6s)-a-a-st (53s)-cl-a-cl (12s)-a-cl (6s)-k-cl (6s)-st-cl (10s)-st (4s)-a-st (5s)-cl (4s)-a-st (5s)-a-st (4s)-a-st (15s)-a-cl (8s)-a-st-a-cl (5s)-st-a-st-a-st (3s)-w (15s)-st (13s)-w (8s)-cl;
C18;292;w-cl (4s)-w (10s)-cl-k-w (4s)-cl-w (5s)-wf-str-st-w-str-st-w-a-st-a-w (4s)-wf-st-w-str-w (6s)-k-w-str-str-str-wf-str-w-a-w (22s)-str-a-li (3s)-str-cl (19s)-li (4s)-cl (12s)-a-cl (15s)-a-cl (19s)-a-cl (13s)-a-cl (5s)-li (4s)-ow-cl-a-cl (14s)-a-cl (12s)-a-cl (19s)-a-cl (33s);
C19;101;cl (50s)-st (51s);
C20;240;wf-w-str-w-str-exp (14s)-a-w-cl (8s)-a-cl (8s)-w (4s)-cl (12s)-li (6s)-cl (20s)-k-cl (7s)-st-cl-str-cl-w (4s)-cl (3s)-a-cl (6s)-li-cl (3s)-li-cl (23s)-a-cl (3s)-a-a-cl (5s)-a-cl (4s)-k-cl (9s)-str-cl (6s)-str-cl (40s)-li (8s)-cl (11s)-a-cl (8s);
D1;241;a-a-w (5s)-wf-w-cl (12s)-a-cl (7s)-li-a-ow (20s)-w-a-ow (15s)-cl-li (10s)-cl (6s)-li (3s)-cl-li (4s)-a-cl (15s)-a-a-a-w (3s)-ow (6s)-w-a-w (3s)-a-exp (4s)-st-ow (9s)-w (3s)-ow (5s)-w-str-w (7s)-st (3s)-w-st-a-w-st-w (7s)-a-st-w-ow (28s)-w (8s);long antennae contact between ants,pushing each other and attacking one the other with mandibels.Also antennae contact with gaster of the other an = FIGHT between 2 ants?
D2;381;w-st-str-st-w-str-w (10s)-st (4s)-w-a-w-a-exp (16s)-a-st-w-st (6s)-cl (4s)-w-a-w (3s)-cl (10s)-w (5s)-str-a-a-str-w (4s)-a (7s)-w (4s)-ow-a-cl (5s)-w-st-li-a-a-st (4s)-a-w-st-w-ow (4s)-w (3s)-a-w-li (6s)-a-a-ow (13s)-w (3s)-st (3s)-st (3s)-li (9s)-a-w (5s)-st-w (7s)-st-ow (7s)-a-a-ow-w-st-a-ow (8s)-a-w (4s)-st-a-str-w-st-a-w (6s)-st-w (4s)-st-w (3s)-ow (9s)-w (9s)-cl (4s)-w (5s)-cl (3s)-li (7s)-w-cl (4s)-w (6s)-st-w-str-a-w (5s)-a-st-w (4s)-ow (2s)-a-a-w (4s)-a-w (6s)-str-st-w (6s)-st-w-st-a-w-ow-a-li-w-st (4s)-a-w (3s);long antennae contact between ants,pushing each other and attacking one the other with mandibels.Also antennae contact with gaster of the other an = FIGHT between 2 ants?
D3;156;cl (15s)-li (4s)-st (4s)-str-cl (4s)-a-cl-a-cl-a-st (4s)-cl (7s)-st (6s)-cl (4s)-str-cl-a-cl (4s)-str-str-a-cl (5s)-a-cl (5s)-a-k-cl (10s)-ow-cl-st (4s)-a-st-cl (9s)-a-cl (5s)-a-cl (14s);antennae contact with gaster of other ant
D4;303;li (4s)-cl-a-li-cl (3s)-a-w-cl (17s)-exp (13s)-st-exp (13s)-str-exp (24s)-ow-a-a-w (5s)-a-w (3s)-a-w-a-w-st (4s)-cl (4s)-wf (8s)-stf (26s)-a-stf (52s)-w (5s)-str-a-ow-w-a-exp (27s)-st-cl (7s)-st-wf (8s)-w (10s)-wf (8s)-stf (6s);antennae contact with gaster of other ant
D5;238;ow (7s)-a-ow (3s)-st-w (4s)-li-a-li (5s)-ow (7s)-a-ow (7s)-a-ow (6s)-w (7s)-li (5s)-ow (6s)-w (3s)-a-ow (16s)-a-li (15s)-ow (4s)-cl (4s)-li (10s)-st-cl (4s)-str-w-a-w (8s)-st-w (5s)-str-w (9s)-st (6s)-w-a-a-a-w (9s)-ow (10s)-w-st (3s)-w;long antennae contact between ants,pushing each other and attacking one the other with mandibels.Also antennae contact with gaster of the other an = FIGHT between 2 ants?
D6;239;st (19s)-ow (5s)-w-cl (13s)-st (4s)-cl (16s)-a-cl (25s)-ow (3s)-cl (5s)-li (4s)-cl-li-ow (22s)-li (40s)-w-a-cl (28s)-a-st-cl (14s);long antennae contact between ants,pushing each other and attacking one the other with mandibels.Also antennae contact with gaster of the other an = FIGHT between 2 ants?
A49;97;w-cl-wf-w-wf-w-cl-w-st-w (4s)-wf-w-str-w (4s)-wf-w (3s)-str-exp (13s)-a-w-str-w-li-exp (13s)-st-w (9s)-a-w (4s)-a-cl-a-cl (4s)-a-cl;
A50;109;li (20s)-st-cl-str-cl (7s)-li (10s)-cl-st-cl (17s)-w-cl (3s)-w-cl-w-cl-w-cl-wf-cl (4s)-li-w-cl (8s)-li-cl;
A51;299;wf-w (9s)-a-k-w-cl (30s)-w-cl (7s)-st-cl-st-str-w (8s)-cl (18s)-str-st (39s)-str-cl (5s)-a-k-cl-w (9s)-cl (3s)-w (5s)-cl-w-cl-str-cl-li (9s)-cl (11s)-st-cl-str-cl-li (34s)-st (4s)-cl (17s);
A52;312;w (3s)-a-w-cl-w-cl-w (9s)-str-str-cl-k-wf (13s)-w-k-w (10s)-cl-li-w (5s)-cl (9s)-w-str-cl-w (3s)-str-w-cl-w (9s)-str-w (3s)-a-w (12s)-cl-w (15s)-cl (4s)-w-str-exp (32s)-cl (3s)-w-cl-str-li (8s)-cl (26s)-w;
A53;119;k-cl-w (3s)-cl-str-cl (16s)-w (3s)-cl (23s)-w (6s)-cl-str-cl (28s);
A54;24;w (23s);
A55;34;w-wf (23s)-w;
A56;71;cl (16s)-li-cl-li (8s)-cl (5s)-k-cl (4s)-li (8s)-w (7s)-cl (6s);
B27;255;w-cl-w (3s)-cl (4s)-w-cl-k-cl-k-cl (3s)-li (7s)-st-cl-w (4s)-cl-w-cl (5s)-w-str-wf-w-cl-k-cl (4s)-str-str-w-str-w (3s)-k-w-cl-w-cl-wf-str-str-wf-str-w-cl-w-str-wf-str-w-cl (3s)-str-cl-w-cl-w-cl-st-str-cl-w (5s)-cl-li-cl (3s)-w-wf-w-cl (4s)-w (8s)-cl-li-cl (3s)-w-cl-wf-str-str-w (14s)-a-w-wf-w-k-w (5s)-cl;
B28;151;w-cl-w (8s)-k-cl (8s)-w-cl (6s)-a-cl (5s)-st-cl (3s)-k-cl-k-cl (17s)-k-cl (18s)-a-a-cl-a-cl (4s)-li (3s)-cl (21s)-a-cl-st-a-cl (22s);
B29;78;str-cl-str-st-w-cl-str-cl-str-cl (3s)-str-a-cl-w-str-w-cl (6s)-w-wf-str-str-cl-a-st-cl (4s)-w (3s)-cl (3s)-st-str-cl (3s)-k-str-w (10s);
B30;239;wf-w-cl-w-cl (6s)-a-cl (3s)-w-cl (3s)-w-cl (3s)-a-k-cl (7s)-li (3s)-cl (18s)-w-cl (5s)-w-cl (4s)-li-w-a-cl (6s)-k-cl (4s)-w (7s)-cl (12s)-w (3s)-li-w-cl (10s)-w (4s)-wf-w-cl (10s)-k-cl-str-cl (4s)-k-str-st-cl (4s)-str-li (3s)-str-str-li (4s)-str-li (7s)-cl-w-cl (8s)-li (4s)-w-st (5s)-w (6s)-k-w (3s)-cl-w (7s)-st-str-cl;
B31;205;cl (4s)-st-cl (4s)-st-li-cl-a-st (3s)-wf-k-cl (13s)-w (3s)-str-cl (4s)-li (4s)-a-cl-w-cl-st (4s)-cl (7s)-st (3s)-cl-st (4s)-cl (14s)-w-cl (4s)-w-str-cl-st (3s)-cl (16s)-st-cl-w-cl (7s)-st (3s)-w-cl (20s)-w-str-cl (4s)-w-cl (7s)-st-w-cl (6s)-st (3s)-cl (17s);
B32;185;w (8s)-cl-str-cl (4s)-str-w (5s)-cl-w (5s)-cl-w (8s)-st-w-cl (6s)-a-k-a-w (6s)-w-k-exp (19s)-st-w (10s)-cl-w (3s)-str-w (4s)-str-w (6s)-cl-str-li (9s)-cl-wf-w (5s)-cl (12s)-w (3s)-cl (6s)-st (4s)-cl (9s)-w-cl (3s)-str-cl (8s);
