record name;time length(s);states;ow
C6;131;cl-a-li-cl (3s)-a-cl (11s)-a-cl (11s)-a-w-st-cl-a-cl (16s)-w-cl (6s)-w-cl-w-st-a-str-cl (4s)-a-cl (4s)-st (3s)-cl (4s)-k-st-str-str-st-w-cl (14s)-st-cl (28s);
D22;228;cl (7s)-a-w (8s)-st-w (9s)-wf-str-w (7s)-st-w-a-w (4s)-cl-a-cl (12s)-li (3s)-cl (4s)-st-cl (20s)-li (3s)-cl-li (10s)-k-cl (13s)-a-cl-st (48s)-w-cl (6s)-w-st (3s)-w-a-st (4s)-w (8s)-st (3s)-a-w (4s)-cl;
D23;252;st (4s)-w-a-w-a-cl (4s)-li-cl (10s)-w-cl (4s)-k-cl (7s)-a-cl (29s)-a-cl (9s)-str-a-cl (20s)-a-a-cl-str-cl (20s)-a-li (3s)-cl-w-cl (44s)-a-cl (28s)-a-cl (4s)-a-cl (25s);
D24;278;cl (5s)-w (5s)-cl-w-st (3s)-a-w (10s)-st (3s)-w-cl-li (5s)-cl (6s)-a-cl (4s)-w (4s)-wf (3s)-st-cl-w-cl (14s)-w-str-w (14s)-cl-w-a-w (4s)-st (5s)-w (5s)-a-st (4s)-w (4s)-cl (18s)-k-a-cl-str-cl-str-cl (11s)-str-w-a-cl (8s)-li-w (3s)-cl-k-w (6s)-str-w (4s)-st-li-cl (3s)-li (3s)-cl (17s)-str-w-a-w-str-w (3s)-str-w (3s)-cl (3s)-a-cl (3s)-w (5s)-cl-a-cl-w-k-w-cl (7s)-a-cl (8s);
D26;148;li-cl (11s)-w-str-cl (7s)-a-w-cl-a-st-w-wf-cl-li-cl (5s)-li-cl-str-a-cl (6s)-a-st-w-cl-a-li-a-cl (9s)-st-a-cl-w-cl (3s)-a-cl-str-str-str-cl (6s)-w (3s)-k-w (4s)-wf-a-str-w-wf (3s)-w-wf-w-a-cl-li (5s)-st-k-a-w-cl-wf (7s);
D27;335;cl-w-cl (4s)-w-cl (10s)-w-wf-cl (3s)-w-cl (4s)-w-cl (9s)-w-str-w-cl-w (3s)-wf-w-cl-wf-st-w (4s)-li-st-w (3s)-cl (4s)-w-li-str-cl (8s)-a-cl (5s)-k-w-st-w-cl (4s)-w (11s)-cl (6s)-st-cl-st-w-cl-st (3s)-cl (3s)-st (5s)-cl (6s)-w (3s)-st (3s)-cl (22s)-li (3s)-cl (3s)-w (4s)-st-cl (3s)-w-cl-wf-cl (12s)-w-st-w (3s)-cl-w-cl (16s)-st (13s)-cl (4s)-wf-w (4s)-cl (15s)-w-cl (8s)-w (8s)-st (5s)-w (13s)-wf-w (5s)-cl (4s)-li (3s)-cl (13s)-st-cl (3s)-a-cl-li (3s);
D29;221;cl (12s)-st (6s)-w-k-w (7s)-cl (8s)-w-cl (10s)-k-cl (46s)-a-cl (19s)-k-cl (30s)-a-cl-a-cl (4s)-w-cl (13s)-w-cl (40s)-a-cl (11s);
E13;222;cl (5s)-a-cl-a-cl (4s)-k-cl (5s)-w-cl (8s)-a-cl (3s)-a-w (5s)-cl (6s)-str-w-cl-st-w (6s)-cl (6s)-exp (18s)-a-exp (11s)-a-exp (13s)-st (22s)-w-str-str-w-str-exp (9s)-a-exp (6s)-a-w-a-exp (11s)-a-w-cl (5s)-w (7s)-cl (3s)-a-w-k-w (5s)-wf-w (7s)-wf-stf-wf-stf (4s)-wf (7s);
E14;262;cl (3s)-a-cl (3s)-a-cl (5s)-a-a-cl (3s)-w (4s)-st-w (3s)-st-cl (8s)-w (5s)-cl (3s)-st-cl (3s)-str-li (3s)-cl (6s)-str-w-cl (5s)-w (6s)-a-exp (3s)-cl-exp (3s)-cl (23s)-a-cl (4s)-k-cl-a-cl (8s)-a-k-cl (7s)-a-cl (11s)-a-cl (5s)-k-a-cl-a-k-cl (54s)-st-cl (5s)-a-cl (12s)-a-cl (12s)-a-cl (16s)-a-k-cl (10s);
E16;234;cl-w (4s)-a-exp-cl (3s)-exp (3s)-st (3s)-cl (17s)-li (7s)-w (11s)-str-str-w (3s)-cl-w (8s)-st-wf-w (3s)-st-w (3s)-cl-a-w (10s)-a-cl (4s)-w-cl (4s)-str-st-a-w (3s)-cl (14s)-k-cl-w (6s)-st-w-st-w (6s)-stf (10s)-w-wf (6s)-w (3s)-a-w (9s)-cl (4s)-st-li-cl (8s)-a-st-str-w (3s)-st (6s)-w;
E18;215;cl (28s)-w-cl (5s)-a-k-cl (4s)-li-cl (5s)-st-cl (8s)-k-w-cl (3s)-a-cl-st-w-st (20s)-cl (10s)-exp (5s)-cl (5s)-a-exp (15s)-st (3s)-cl (5s)-a-li-cl (8s)-k-k-cl-w (25s)-st-w (17s);
E20;233;cl (23s)-a-cl (7s)-k-cl (14s)-a-cl-w-cl (14s)-k-cl-li (3s)-cl (12s)-a-cl (13s)-a-cl (8s)-li (4s)-cl (7s)-a-cl (8s)-w-st-cl (6s)-w (5s)-cl (8s)-k-cl (8s)-a-cl (40s)-exp (5s)-cl-str-cl (3s)-li-a-cl (8s)-w-str-cl;
B84;238;w-a-cl (3s)-w-str-wf-w-str-a-w-str-w (4s)-a-w-wf (3s)-w-wf (3s)-a-wf(3s)-a-wf (4s)-a-w (3s)-a-w (6s)-wf-w (11s)-a-w-li (3s)-w (5s)-cl (3s)-w-cl (7s)-st (3s)-cl (4s)-w (7s)-cl (7s)-w-str-str-a-cl (7s)w (5s)-a-w (5s)-str-a-k-cl (9s)-a-w-a-w (5s)-st-w (5s)-wf (4s)-a-wf (7s)-str-cl (6s)-w-str-wf-a-a-a-w (5s)-a-w-a-k-w (3s)-wf-str-w (7s)-str-w (5s)-a-w(5s);
B85;206;cl (5s)-li (4s)-cl (6s)-st (3s)-cl (3s)-a-cl (4s)-a-cl-a-cl (4s)-a-cl (10s)-a-cl (4s)-w-st (3s)-cl (3s)-cl (7s)-li (8s)-cl (4s)-st-cl (13s)-w-st-a-cl (8s)-st (4s)-cl (9s)-a-cl-st (8s)-cl (5s)-a-cl-li-st (7s)-cl (16s)-li (3s)-cl (10s)-a-cl (11s)-st-cl (9s);
B87;183;w-cl-li-cl (6s)-w-st-w-cl (11s)-w-st-cl-a-cl (16s)-a-cl (4s)-w-st-w (3s)-cl (7s)-li (3s)-cl (14s)-li-cl (7s)-a-a-w-cl (6s)-st-w (4s)-cl (9s)-w-cl (11s)-w-wf-a-k-a-cl (14s)-a-cl (24s);
B89;235;wf-w (3s)-st-a-st-w (3s)-cl (10s)-w-st (4s)-cl (3s)-a-st (7s)-cl (7s)-w-st-w-wf-st-wf (3s)-a-w (4s)-cl (14s)-w (4s)-st (4s)-a-w-st-w (3s)-st-stf-w (4s)-wf (6s)-a-li (3s)-w (3s)-st-k-st (18s)-cl (3s)-li-cl (14s)-str-a-st-cl (3s)-a-cl (3s)-a-cl (7s)-st-cl (3s)-w-cl (9s)-str-a-cl (4s)-a-li (5s)-st (3s)-str-w-st-cl (3s)-a-li (3s)-cl (9s);
B91;236;li-cl (7s)-a-cl-w (5s)-st-w (4s)-cl (5s)-a-k-cl (4s)-w (4s)-li (6s)-cl (4s)-li (3s)-cl (9s)-w-cl (10s)-li-cl-w (3s)-st-w (3s)-st (3s)-w (4s)-st (5s)-k-cl (3s)-w (3s)-cl (7s)-w (3s)-cl (6s)-w (10s)-cl (12s)-w (4s)-st (4s)-w-k-w (3s)-st-cl (4s)-str-str-str-a-exp (21s)-a-a-a-w (4s)-li-st-li (13s)-cl (3s)-st-cl;
A13;141;cl (4s)-w-cl (3s)-wf-cl-wf-cl (13s)-wf-cl (13s)-w-cl-wf-cl-wf-cl-a-cl (3s)-w-cl (4s)-w-cl (4s)-li-cl (3s)-w-cl (11s)-k-str-cl (4s)-w-str-cl (4s)-wf-cl (5s)-li-cl-w-cl-wf-cl (7s)-w-cl-wf-cl;
A14;74;li (9s)-cl (10s)-w-cl (3s)-wf-cl-wf-cl-wf-cl-wf-cl (6s)-w (8s)-cl (5s)-w-cl (3s)-w-cl;
A15;179;cl (3s)-li-cl-w-cl-a-cl-wf-a-cl-w (4s)-cl (3s)-a-w-cl-w-str-exp (4s)-a-w-cl (5s)-li (3s9-cl (17s)-li (7s)-w-cl (4s)-li (4s)-cl (8s)-li-cl-li (3s)-cl (7s)-w-cl-w-cl (9s)-str-cl-li-cl (6s)-w-cl-a-w-cl (4s)-li-cl (3s)-a-cl (9s)-wf-cl-a-cl (3s)-k-cl-w-cl-k-cl-w-cl;
A16;275;w (5s)-cl (5s)-exp (20s)-a-w (7s)-wf-w (4s)-st (3s)-cl (9s)-str-w (3s)-wf (4s)-w (4s)-cl (4s)-k-w-cl-w (3s)-cl-k-cl (4s)-k-w-cl-wf-cl (6s)-w-cl (24s)-w (3s)-cl (3s)-li-cl (5s)-w-cl (4s)-w-cl-w-cl-li-a-li-w (4s)-cl (5s)-k-cl-k-cl-w-cl-k-cl (6s)-k-cl-k-cl-k-cl-li-cl (6s)-w-cl-li-w-cl (14s)-w-li-w-cl (10s)-w-cl;
A17;298;cl (6s)-li-cl (16s)-w-li (10s)-cl (5s)-li (3s)-cl (4s)-w (3s)-cl (10s)-st-cl (5s)-w-cl-exp (22s)-a-exp (9s)-a-exp (23s)-cl (4s)-li-cl (4s)-w-cl (45s)-st-cl (16s)-st-cl (10s)-st (32s)-w;
A18;171;cl (4s)-k-w-cl (12s)-w-a-cl-w (4s)-a-exp (48s)-a-w (10s)-a-w (3s)-str-exp (25s)-cl-w (4s)-a-exp (10s)a-w-a-w (21s);
B1;167;st-cl (3s)-st-cl (7s)-st-cl (4s)-a-cl (11s)-st-cl (4s)-st-cl (5s)-st-cl-k-cl (3s)-k-a-st-a-st-cl (3s)-k-cl (3s)-a-cl-k-str-st-cl (6s)-st (3s)-str-st-cl-a-st-a-w-wf-w (14s)-a-st-cl (14s)-a-cl (10s)-k-w (5s);
B2;244;w-a-cl-ki-w-cl (4s)-w-wf-cl (9s)-k-cl-li-k-a-cl (7s)-li-cl-str-cl (4s)-li (3s)-k-cl (3s)-a-cl-li (4s)-k-li (3s)-w-str-cl-str-cl (3s)-li (21s)-cl (11s)-st (22s)-cl (6s)-wf-cl-st-str-wf-cl-wf-cl-a-cl-li (4s)-wf-str-cl (12s)-w-cl (12s)-w-cl (3s)-w-str-w-a-w (3s)-a-k-w (10s)wf-k-str-k-w-cl (9s)-st-cl-li-cl (7s);
B3;135;st-cl (72s)-str-cl (43s)-st-cl;
B4;125;li (4s)-cl-w-k-wf-str-stf (3s)-li (4s)-a-cl-st-k-cl-k-k-w-cl-a-cl (3s)-w-cl (23s)-k-cl (18s)-w-wf-k-cl (3s)-wf-cl (7s)-k-w-cl-wf-st-cl-wf-k-w-cl (7s)-li-w-cl (7s=;
B5;155;w-str-a-w (8s)-cl (5s)-li (6s)-st-cl-st-cl (8s)-w-cl (3s)-w-str-cl (4s)-str-str-w-str-cl (5s)-w-cl-a-cl-w (3s)-cl (4s)-str-w-cl-w-k-w-cl-a-w-st-li-w-str-w-cl-wf-w (4s)-a-cl-li-cl (4s)-w-cl-w (5s)-cl-w-str-w (10s)-a-w (4s)-str-li-a;
B6;156;li (9s)-cl (7s)-li (4s)-cl (6s)-str-cl (6s)-w-cl (4s)-st-w-str-cl (5s)-wf-k-stf (4s)-w-wf-k-w-cl-k-cl (4s)-st-wf-w-k-w-stf (5s)-w-k-wf (3s)-a-wf-st-a-stf-k-w-st-cl-stf (4s)-w-cl-a-cl-li-w-a-w-a-exp (15s)-str-w;
C49;296;w-str-cl (4s)-w-st (3s)-w-wf-str-w-str-wf-str-w (12s)-wf-str-w (3s)-cl (4s)-a-k-cl (4s)-w-cl (7s)-a-li-w-cl (4s)-w (7s)-wf-str-str-w (4s)-str-w-st-w (4s)-st-w-str-w (6s)-str-exp (30s)-cl (3s)-a-cl-li-a-cl (6s)-st (4s)-w-cl (5s)-a-cl (3s)-a-str-st-cl-str-cl (7s)-w-str-cl-str-cl (5s)-li (3s)-w (3s)-a-cl-w (3s)-cl (3s)-w-k-w (4s)-cl (32s)-a-cl-k-cl (8s)-str-cl-k-cl-k-cl (6s)-w-st (4s)-w-st-cl (12s);
C50;278;cl-st-cl (4s)-a-cl-str-cl (3s)-li (3s)-cl-a-cl-str-cl (6s)-str-w-cl (14s)-st-cl (11s)-st-cl-st-cl (10s)-st-a-cl (4s)-w (3s)-k-cl (9s)-st-cl (8s)-li-cl (15s)-w-st-cl (39s)-st-cl (6s)-a-cl (3s)-str-w (3s)-cl-li (3s)-cl (9s)-a-cl (53s)-w-cl (3s)-w-cl (8s)-w-cl (8s)-k-w-cl (9s);
C51;298;a-cl (3s)-a-cl (9s)-st (3s)-cl (17s)-a-cl (6s)-w-str-st-cl-a-w-str-w-str-str-w-st-w-wf-st (4s)-w (10s)-str-cl (8s)-st (8s)-w-st-cl-str-str-str-cl (4s)-str-st-cl (5s)-st-cl-w (3s)-a-w-st (4s)-w-k-cl (13s)-str-str-str-cl (7s)-str-cl-a-cl (8s)-w-cl (7s)-a-w (4s)-st-w-st-w (7s)-cl (5s)-k-a-str-str-str-str-cl-str-st (4s)-cl (10s)-li-cl (8s)-st (19s)-w-st-w-str-w (11s)-str-w-k-w;
C52;283;st-w-st (6s)-exp (5s)-st-exp (4s)-st (4s)-exp (5s)-st (4s)-w (7s)-st (7s)-w (8s)-st (5s)-exp-str-exp (4s)-st (7s)-exp-str-str-exp-st (3s)-exp (8s)-str-exp (25s)-st (9s)-exp (13s)-k-li-st-w-st-str-li (4s)-a-st (3s)-w (3s)-st (3s)-li (7s)-st (3s)-a-st (8s)-cl (3s)-a-st-cl (8s)-a-k-w-st-cl-str-str-str-k-st (7s)-w (4s)-st (7s)-str-cl-a-w-st (4s)-cl-str-cl (4s)-li (4s)-cl;
C53;53;exp (7s)-str-str-str-w-a-exp (7s)-str-exp-str-exp (3s)-st-exp (19s);
