plot.simple;plant;date;N_aphid
Nh_04;Alpha;11.08.2018;0
Nh_04;Beta;11.08.2018;0
Nh_05;Alpha;28.08.2018;0
Nh_10;Alpha;18.08.2018;0
Nl_200;Alpha;21.08.2018;0
Nl_55;Alpha;22.08.2018;0
Ol_11;Beta;13.08.2018;0
Ol_11;Ceta;25.08.2018;0
Ol_55;Alpha;12.08.2018;0
Ol_55;Beta;21.08.2018;0
Ol_55;Ceta;25.08.2018;0
Om_02;Alpha;15.08.2018;0
